"State","MSN","2021"
"US","ESACB",21613.00
"US","ESACD",29.90
"US","ESACP",6334.00
"US","ESACV",646.20
"US","ESCCB",4532636.00
"US","ESCCD",32.87
"US","ESCCP",1328439.00
"US","ESCCV",149008.20
"US","ESICB",3414093.00
"US","ESICD",21.05
"US","ESICP",1000613.00
"US","ESICV",68815.70
"US","ESRCB",5017301.00
"US","ESRCD",40.03
"US","ESRCP",1470487.00
"US","ESRCV",200833.90
"US","ESTCB",12985643.00
"US","ESTCD",32.66
"US","ESTCP",3805874.00
"US","ESTCV",419304.00
"UT","ESACB",167.00
"UT","ESACD",32.86
"UT","ESACP",49.00
"UT","ESACV",5.50
"UT","ESCCB",41649.00
"UT","ESCCD",23.83
"UT","ESCCP",12207.00
"UT","ESCCV",992.40
"UT","ESICB",32318.00
"UT","ESICD",18.14
"UT","ESICP",9472.00
"UT","ESICV",556.00
"UT","ESRCB",37363.00
"UT","ESRCD",30.57
"UT","ESRCP",10950.00
"UT","ESRCV",1142.20
"UT","ESTCB",111496.00
"UT","ESTCD",24.55
"UT","ESTCP",32678.00
"UT","ESTCV",2696.10
"VA","ESACB",596.00
"VA","ESACD",24.88
"VA","ESACP",175.00
"VA","ESACV",14.80
"VA","ESCCB",200366.00
"VA","ESCCD",22.83
"VA","ESCCP",58724.00
"VA","ESCCV",4575.20
"VA","ESICB",67258.00
"VA","ESICD",19.03
"VA","ESICP",19712.00
"VA","ESICV",1279.90
"VA","ESRCB",159117.00
"VA","ESRCD",35.07
"VA","ESRCP",46634.00
"VA","ESRCV",5579.60
"VA","ESTCB",427337.00
"VA","ESTCD",26.79
"VA","ESTCP",125245.00
"VA","ESTCV",11449.60
"VT","ESACB",0.00
"VT","ESACD",0.00
"VT","ESACP",0.00
"VT","ESACV",0.00
"VT","ESCCB",6371.00
"VT","ESCCD",48.63
"VT","ESCCP",1867.00
"VT","ESCCV",309.80
"VT","ESICB",4678.00
"VT","ESICD",33.34
"VT","ESICP",1371.00
"VT","ESICV",156.00
"VT","ESRCB",7419.00
"VT","ESRCD",56.44
"VT","ESRCP",2174.00
"VT","ESRCV",418.70
"VT","ESTCB",18468.00
"VT","ESTCD",47.89
"VT","ESTCP",5413.00
"VT","ESTCV",884.50
"WA","ESACB",353.00
"WA","ESACD",29.00
"WA","ESACP",104.00
"WA","ESACV",10.20
"WA","ESCCB",97711.00
"WA","ESCCD",26.80
"WA","ESCCP",28637.00
"WA","ESCCV",2618.50
"WA","ESICB",73141.00
"WA","ESICD",17.03
"WA","ESICP",21436.00
"WA","ESICV",1150.30
"WA","ESRCB",129728.00
"WA","ESRCD",29.63
"WA","ESRCP",38021.00
"WA","ESRCV",3843.70
"WA","ESTCB",300934.00
"WA","ESTCD",25.81
"WA","ESTCP",88199.00
"WA","ESTCV",7622.80
"WI","ESACB",4.00
"WI","ESACD",44.32
